  # aggregation: #!165scams
  # source: https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/29E8E643-88ED-4952-B21E-BD42A3B7108C/resource/30001015-F0DA-40AE-945C-43EF73A4DDDF/download
  # homepage: https://data.gov.tw/dataset/176455
modernbox.top #!165scams
vrrmi.lat #!165scams
vrrmbd1f29ccb30ccf34f577.vrrm.beer #!165scams
vrrm886381e7fa09aa7e1217.vrrm.beer #!165scams
vrrm69f9f0c6eaa96de7e8e9.vrrm.beer #!165scams
vrrma519b1af22d064b329f2.vrrm.beer #!165scams
savashop-bazaar.store #!165scams
edekawhcm.com #!165scams
web.inexdshs.vip #!165scams
dogeyeh.com #!165scams
h5.allunity-btc.com #!165scams
zh.businessoperations.org #!165scams
blacetota.com #!165scams
ceffkena.com #!165scams
bit.amendnsschool.org #!165scams
bit.basedskillsnk.org #!165scams
bit.morningabouo.org #!165scams
bit.nausaokoolsas.org #!165scams
bit.rediaaboutup.org #!165scams
bit.searchbetween.org #!165scams
bit.secondcare.org #!165scams
bit.senaisanxsao.org #!165scams
bit.senaitsuxleo.org #!165scams
bit.snearewihua.org #!165scams
bit.uinaoaxnsal.org #!165scams
nyzucf.cc #!165scams
gvyjbhgnax.cc #!165scams
okxwd3m.com #!165scams
ldp2p2inner.com #!165scams
ofgxtw.icu #!165scams
lgbnk.com #!165scams
dogecoinmvh.com #!165scams
twshop-depotx.store #!165scams
dnoscz.com #!165scams
sebca.lat #!165scams
grukejiren.com #!165scams
9f9db4271dac636af95edc940ebee982.small1006.shop #!165scams
saxotders.top #!165scams
web.inexfhsh.vip #!165scams
stripextrucham.com #!165scams
lookfantastich.com #!165scams
zentrax-prs.com #!165scams
mexction-tw.com #!165scams
lookfantasticr.com #!165scams
toptiertradcem.com #!165scams
vv3.kongj03.vip #!165scams
coins9.shop #!165scams
dapp.jiami.qzz.io #!165scams
mercadoshoping.store #!165scams
couponmsao.com #!165scams
usbankpq.com #!165scams
sales-shop.space #!165scams
qiguangwhcm.com #!165scams
ceffknkp.vip #!165scams
semiconductoro.com #!165scams
lgcno.com #!165scams
openai3420.com #!165scams
dealloop-corner.store #!165scams
ofgxtw.store #!165scams
usbankab.com #!165scams
usbankag.com #!165scams
usbankah.com #!165scams
usbankaj.com #!165scams
usbankam.com #!165scams
usbankan.com #!165scams
marketsotry.shop #!165scams
qzeplkm.cc #!165scams
h5.cjkispro.com #!165scams
databaseuic.com #!165scams
savashop-direct.store #!165scams
ubekfhkdkfjxe.cc #!165scams
aa3899.com #!165scams
yl5825.com #!165scams
tbrucest.com #!165scams
traxlln.com #!165scams
icmarkreg.com #!165scams
simplemartyss.com #!165scams
tcetfweb.com #!165scams
vip-tokonline.cc #!165scams
aegetllk.com #!165scams
jitu0.xyz #!165scams
rang-noww.com #!165scams
savashop-select.store #!165scams
salesshopping.store #!165scams
msnoko.com #!165scams
lnssxsh.trade #!165scams
lnssxsh.com #!165scams
earnparkjsw.com #!165scams
atfxlyfweb.com #!165scams
aegetcfi.com #!165scams
top.namatheusehk.cc #!165scams
blscyuq.com #!165scams
niaexchangenetwork.com #!165scams
openai3034.com #!165scams
phknetw.com #!165scams
wandiesshop-fashion.store #!165scams
lgdls.com #!165scams
lookfantasticf.com #!165scams
h5.allunity-btc.cyou #!165scams
exchange-novax.net #!165scams
gcexfx.com #!165scams
gcexrtratw.top #!165scams
gcxwexyweb3-tw.top #!165scams
gxecghs.com #!165scams
gxegxexg.com #!165scams
mxxxecgcx.com #!165scams
qwqw.pipoone.com #!165scams
tk.admall.vip #!165scams
tk.mallend.vip #!165scams
lcon.life #!165scams
m.lcn25.xyz #!165scams
m.rocupbitoffice.com #!165scams
signnol.com #!165scams
openai5277.com #!165scams
datahydru386.com #!165scams
kimi-gpt.vip #!165scams
50gaa.cc #!165scams
openivaicd.com #!165scams
5play.ykhlmu.top #!165scams
7-11-eleven-tw-com20.fit #!165scams
applemusic.dwfsg.com #!165scams
applemusic.yuedufc.com #!165scams
bud2.cn #!165scams
crown.iwcopoe.com #!165scams
cxbhx.xyz #!165scams
ebnbsn.club #!165scams
expreskk.top #!165scams
gfglllfgldf.com #!165scams
goc.tixinna.top #!165scams
hook-love.com #!165scams
htct07.hyibpagg.baby #!165scams
jl.kln-com.top #!165scams
kkfd166.top #!165scams
mm163.com #!165scams
my.kerry-express.twok.work #!165scams
myship-711-com-tw-33a.shop #!165scams
myship-711-com-tw-bas8.shop #!165scams
myship-711-com-tw-hc1.shop #!165scams
myship-711-com-tw-yys.top #!165scams
myship7-11tw.topht #!165scams
myship7-11-tw-ig.top #!165scams
myship-7-11tww.top #!165scams
myship-711yu.top #!165scams
oic.nw-711.top #!165scams
se.greter.cc #!165scams
ss.sfexpdrss.com #!165scams
tripfli.com #!165scams
tw.famiport-tw-fmec-clem.cyou #!165scams
tw.famiport-tw-fmec-njhy.cyou #!165scams
tw.myship7-11-tw-medh.cyou #!165scams
asyux.shop #!165scams
itix2gotw.com #!165scams
xiguang666.com #!165scams
byhdr.icu #!165scams
aistreetstyle.top #!165scams
ppttnx.top #!165scams
myship-711-tw-com.cyou #!165scams
expressae.top #!165scams
myship-711-tw-com.sbs #!165scams
myship-711-com-tw.fit #!165scams
family-marts.cc #!165scams
myship-711-com-tw-fgc.qpon #!165scams
myship-711-com-tw-iio1.top #!165scams
myship-711-com-tw-nas.top #!165scams
hnb-family.com #!165scams
myship-711-com-tw-ha6.top #!165scams
myship-711-com-tw-ed9.shop #!165scams
gongpinginc.com #!165scams
eincioiice-tw-nat-gov.com #!165scams
einmioiice-tw-nat-gov.com #!165scams
einnioiice-tw-nat-gov.com #!165scams
mvdgbtw.com #!165scams
mvdgotw.com #!165scams
mvdid-tw-gov.com #!165scams
mvdif-tw-gov.com #!165scams
mvdls-serve.govtaiwan.me #!165scams
mvdls-serves.govtaiwan.help #!165scams
tw.voteaz10.mom #!165scams
mydragon.site #!165scams
app.comeyueme.com #!165scams
feihuazhaiyebb.com #!165scams
fxingfound.org #!165scams
gxses.njrm4o.top #!165scams
meettw.com #!165scams
tigea.bwm5qw.top #!165scams
tw.famiport-tw-fmec-forc.cyou #!165scams
058fu.com #!165scams
1369tk.top #!165scams
pailove.org #!165scams
tkw55.com #!165scams
tw.myship7-11-tw-wkmg.cyou #!165scams
mvdic-twb-gov.com #!165scams
myship-711-com-tw-tew.top #!165scams
greenhydow.com #!165scams
myship-7-11-tw-com.icu #!165scams
7-11-eleven.cc #!165scams
tw.famiport-tw-fmec-foth.cyou #!165scams
gcexexc-tw.com #!165scams
vip-barrick.com #!165scams
gt.cathay-loan.com #!165scams
ovupation.com #!165scams
quirkydentist.com #!165scams
myship-711-com-tw-fd1.top #!165scams
wissenwerk.sbs #!165scams
alphalombard.sbs #!165scams
fetc-twcentrec.com #!165scams
fetc-twcentrea.com #!165scams
fetc-twcentreb.com #!165scams
fetc-itw.net #!165scams
mvdic-twa-gov.com #!165scams
mvdls-serve.govtaiwan.click #!165scams
tw.famiport-tw-fmec-wnfp.cyou #!165scams
myship-711-com-tw-bas.top #!165scams
tw.famiport-tw-fmec-woyp.cyou #!165scams
ujkgfd.fetc-twe.life #!165scams
applemusic.equrqo.top #!165scams
bhmca.top #!165scams
dssogiazb.mom #!165scams
huajistks.beauty #!165scams
madheadz.slizi.top #!165scams
ooo68888.iwcopomq.com #!165scams
owbsyh.readdy.co #!165scams
zajindan332.top #!165scams
app.hrusker.com #!165scams
uujjz.asia #!165scams
lian.ws #!165scams
openai1459.com #!165scams
openai5468.com #!165scams
govtw.cyou #!165scams
govtaiw.help #!165scams
govtaiwan.qpon #!165scams
fatc-net.govtw.cyou #!165scams
mvdls-serve.govtaiw.help #!165scams
inovice-atexnat.govtaiwan.qpon #!165scams
mvdvitw.com #!165scams
cupload.dashdeexj.com #!165scams
mail.dashdeexj.com #!165scams
webmail.dashdeexj.com #!165scams
imap.dashdeexj.com #!165scams
localhost.dashdeexj.com #!165scams
